recipe_id,key,Value
4,Energy,95 cal
4,Protein,0.5 g
4,Carbohydrates,3 g
4,Fiber,1 g
4,Fat,9.1 g
4,Cholesterol,0 mg
4,Sodium,277.7 mg
5,Energy,95 cal
5,Protein,0.5 g
5,Carbohydrates,3 g
5,Fiber,1 g
5,Fat,9.1 g
5,Cholesterol,0 mg
5,Sodium,0.8 mg
6,Energy,380 cal
6,Protein,1.3 g
6,Carbohydrates,35.5 g
6,Fiber,1.5 g
6,Fat,25.8 g
6,Cholesterol,0 mg
6,Sodium,15557.8 mg
7,Energy,89 cal
7,Protein,0.2 g
7,Carbohydrates,22.4 g
7,Fiber,0.8 g
7,Fat,0.1 g
7,Cholesterol,0 mg
7,Sodium,0.9 mg
8,Energy,237 cal
8,Protein,5.8 g
8,Carbohydrates,27.3 g
8,Fiber,4.2 g
8,Fat,11.6 g
8,Cholesterol,0 mg
8,Vitamin A,1273.8 mcg
8,Vitamin B1,0.2 mg
8,Vitamin B2,0.1 mg
8,Vitamin B3,1.1 mg
8,Vitamin C,7 mg
8,Folic Acid,36.6 mcg
8,Calcium,20.3 mg
8,Iron,1.9 mg
8,Magnesium,0 mg
8,Phosphorus,0 mg
8,Sodium,28.9 mg
8,Potassium,268.4 mg
8,Zinc,0.6 mg
9,Energy,69 cal
9,Protein,0.3 g
9,Carbohydrates,15.2 g
9,Fiber,0.1 g
9,Fat,0.8 g
9,Cholesterol,0 mg
9,Sodium,85.7 mg
10,Energy,56 cal
10,Protein,0.1 g
10,Carbohydrates,7.5 g
10,Fiber,0.3 g
10,Fat,3.1 g
10,Cholesterol,0 mg
10,Sodium,0.3 mg
11,Energy,149 cal
11,Protein,2.4 g
11,Carbohydrates,24.4 g
11,Fiber,0.3 g
11,Fat,3.4 g
11,Cholesterol,8 mg
11,Sodium,18.6 mg
13,Energy,328 cal
13,Protein,4.8 g
13,Carbohydrates,13.3 g
13,Fiber,6.4 g
13,Fat,27.6 g
13,Cholesterol,5.3 mg
13,Sodium,22.4 mg
14,Energy,272 cal
14,Protein,9.4 g
14,Carbohydrates,6.8 g
14,Fiber,0 g
14,Fat,21.9 g
14,Cholesterol,0 mg
14,Vitamin A,333.9 mcg
14,Vitamin B1,-0.5 mg
14,Vitamin B2,-0.5 mg
14,Vitamin B3,-0.5 mg
14,Vitamin C,2.1 mg
14,Folic Acid,2.8 mcg
14,Calcium,364.2 mg
14,Iron,0.1 mg
14,Magnesium,0 mg
14,Phosphorus,0 mg
14,Sodium,9.5 mg
14,Potassium,45 mg
14,Zinc,0 mg
15,Energy,295 cal
15,Protein,9.4 g
15,Carbohydrates,6.8 g
15,Fiber,0 g
15,Fat,24.4 g
15,Cholesterol,8 mg
15,Sodium,9.5 mg
17,Energy,28 cal
17,Protein,0.9 g
17,Carbohydrates,1.5 g
17,Fiber,0 g
17,Fat,1.5 g
17,Cholesterol,3.4 mg
17,Sodium,4.3 mg
18,Energy,215 cal
18,Protein,3.1 g
18,Carbohydrates,6 g
18,Fiber,4 g
18,Fat,19.2 g
18,Cholesterol,6 mg
18,Sodium,18 mg
19,Energy,475 cal
19,Protein,6.1 g
19,Carbohydrates,66.9 g
19,Fiber,5.9 g
19,Fat,20.2 g
19,Cholesterol,0 mg
19,Sodium,7784.3 mg
20,Energy,381 cal
20,Protein,13.4 g
20,Carbohydrates,12.8 g
20,Fiber,0.2 g
20,Fat,29 g
20,Cholesterol,12 mg
20,Sodium,16.8 mg
21,Energy,642 cal
21,Protein,15.3 g
21,Carbohydrates,98.6 g
21,Fiber,4.9 g
21,Fat,20.1 g
21,Cholesterol,0 mg
21,Vitamin A,272.2 mcg
21,Vitamin B1,-0.4 mg
21,Vitamin B2,-0.4 mg
21,Vitamin B3,1.9 mg
21,Vitamin C,1.6 mg
21,Folic Acid,11 mcg
21,Calcium,280.5 mg
21,Iron,0.9 mg
21,Magnesium,0 mg
21,Phosphorus,0 mg
21,Sodium,4.8 mg
21,Potassium,22.5 mg
21,Zinc,1.6 mg
22,Energy,32 cal
22,Protein,1.3 g
22,Carbohydrates,5.1 g
22,Fiber,0.5 g
22,Fat,0.7 g
22,Cholesterol,0 mg
22,Sodium,1.4 mg
23,Energy,114 cal
23,Protein,3.8 g
23,Carbohydrates,21.7 g
23,Fiber,1.8 g
23,Fat,1.4 g
23,Cholesterol,0 mg
23,Sodium,6.9 mg
24,Energy,73 cal
24,Protein,2.7 g
24,Carbohydrates,10.7 g
24,Fiber,1.7 g
24,Fat,2.2 g
24,Cholesterol,0 mg
24,Sodium,6.5 mg
25,Energy,115 cal
25,Protein,0.2 g
25,Carbohydrates,27.5 g
25,Fiber,0 g
25,Fat,0.4 g
25,Cholesterol,0 mg
25,Sodium,258.4 mg
27,Energy,219 cal
27,Protein,5.9 g
27,Carbohydrates,4 g
27,Fiber,0.1 g
27,Fat,19.9 g
27,Cholesterol,8.1 mg
27,Sodium,28.1 mg
28,Energy,234 cal
28,Protein,8.6 g
28,Carbohydrates,10 g
28,Fiber,0 g
28,Fat,13 g
28,Cholesterol,32 mg
28,Sodium,38 mg
30,Energy,82 cal
30,Protein,1.7 g
30,Carbohydrates,4.9 g
30,Fiber,1.3 g
30,Fat,6.2 g
30,Cholesterol,0 mg
30,Vitamin A,62.3 mcg
30,Vitamin B1,0 mg
30,Vitamin B2,0 mg
30,Vitamin B3,0.2 mg
30,Vitamin C,0.1 mg
30,Folic Acid,12.1 mcg
30,Calcium,4.6 mg
30,Iron,0.4 mg
30,Magnesium,0 mg
30,Phosphorus,0 mg
30,Sodium,6 mg
30,Potassium,59 mg
30,Zinc,0.1 mg
31,Energy,0 cal
31,Protein,0 g
31,Carbohydrates,0 g
31,Fiber,0 g
31,Fat,0 g
31,Cholesterol,0 mg
31,Sodium,0 mg
32,Energy,178 cal
32,Protein,3.9 g
32,Carbohydrates,23.6 g
32,Fiber,4 g
32,Fat,8.1 g
32,Cholesterol,0 mg
32,Sodium,6.5 mg
33,Energy,96 cal
33,Protein,1.8 g
33,Carbohydrates,7.1 g
33,Fiber,0.2 g
33,Fat,7.4 g
33,Cholesterol,0 mg
33,Sodium,1.3 mg
34,Energy,568 cal
34,Protein,10.5 g
34,Carbohydrates,31.1 g
34,Fiber,1.5 g
34,Fat,44.6 g
34,Cholesterol,0.1 mg
34,Sodium,1.5 mg
35,Energy,208 cal
35,Protein,2.6 g
35,Carbohydrates,30.5 g
35,Fiber,2.5 g
35,Fat,8 g
35,Cholesterol,0 mg
35,Sodium,5.5 mg
36,Energy,54 cal
36,Protein,3.1 g
36,Carbohydrates,7.9 g
36,Fiber,2 g
36,Fat,1.2 g
36,Cholesterol,0 mg
36,Sodium,3.5 mg
37,Energy,130 cal
37,Protein,4.1 g
37,Carbohydrates,13.6 g
37,Fiber,6 g
37,Fat,6.6 g
37,Cholesterol,1.4 mg
37,Sodium,71.6 mg
39,Energy,88 cal
39,Protein,2.9 g
39,Carbohydrates,11.5 g
39,Fiber,2.3 g
39,Fat,3.7 g
39,Cholesterol,0 mg
39,Sodium,5.9 mg
40,Energy,218 cal
40,Protein,2.9 g
40,Carbohydrates,48.2 g
40,Fiber,8.3 g
40,Fat,1.4 g
40,Cholesterol,0 mg
40,Sodium,68 mg
42,Energy,190 cal
42,Protein,3.7 g
42,Carbohydrates,2.6 g
42,Fiber,1.2 g
42,Fat,18.4 g
42,Cholesterol,0 mg
42,Sodium,251 mg
44,Energy,227 cal
